Date,Open,High,Low,Close,Volume
"Jul 13, 2022",1450,1460,1438.6,1444.45,5.26M
"Jul 12, 2022",1461.8,1468.6,1436,1438.6,4.71M
"Jul 11, 2022",1495,1499.9,1466.4,1473.15,4.70M
"Jul 08, 2022",1515,1516.95,1499.95,1514.45,3.65M
"Jul 07, 2022",1503.05,1513.95,1495.7,1498.7,3.32M
"Jul 06, 2022",1482.2,1500,1470,1491.65,5.21M
"Jul 05, 2022",1498.8,1509.95,1472,1475.95,7.38M
"Jul 04, 2022",1480.25,1492.25,1462,1488,4.80M
"Jul 01, 2022",1454,1485,1442.35,1479.4,4.65M
"Jun 30, 2022",1465.05,1482,1455,1461.9,9.17M
"Jun 29, 2022",1464.7,1477,1457,1463.25,5.06M
"Jun 28, 2022",1469,1488.25,1453,1480.15,4.41M
"Jun 27, 2022",1468.05,1484,1465.15,1474.6,4.51M
"Jun 24, 2022",1458,1467.5,1428.9,1441.1,6.11M
"Jun 23, 2022",1439.8,1458,1433,1452.45,6.25M
"Jun 22, 2022",1436.05,1459.6,1435,1437.25,6.25M
"Jun 21, 2022",1424,1456,1422.75,1449.9,6.27M
"Jun 20, 2022",1390.05,1422.35,1382,1414.15,4.60M
"Jun 17, 2022",1391.05,1396.95,1367.15,1387.3,9.69M
"Jun 16, 2022",1438,1443.75,1392,1397.2,6.64M
"Jun 15, 2022",1440.2,1446.4,1418.85,1422.2,4.65M
"Jun 14, 2022",1410,1448.9,1403.15,1440.55,6.09M
"Jun 13, 2022",1443.6,1443.6,1411.7,1424.5,6.99M
"Jun 10, 2022",1486.1,1493.95,1473.6,1476.8,6.52M
"Jun 09, 2022",1485,1516.95,1481.5,1515,4.36M
"Jun 08, 2022",1520.2,1520.2,1492,1500,4.70M
"Jun 07, 2022",1519.85,1519.85,1502.6,1506.7,4.90M
"Jun 06, 2022",1516,1536.6,1493,1530.05,6.62M
"Jun 03, 2022",1524.9,1555,1518,1521.7,9.40M
"Jun 02, 2022",1484,1513.85,1475.6,1508,7.21M
"Jun 01, 2022",1513,1514.75,1472.1,1478.55,8.74M
"May 31, 2022",1510.7,1518,1488.15,1503.6,16.03M
"May 30, 2022",1487,1530,1485,1526.8,10.90M
"May 27, 2022",1443.95,1467,1437.4,1461.35,8.28M
"May 26, 2022",1418,1430,1407.05,1423.95,13.04M
"May 25, 2022",1435,1442.5,1399.25,1410.45,9.63M
"May 24, 2022",1468.6,1469.55,1435.25,1441,5.69M
"May 23, 2022",1455.1,1488,1450.05,1468.4,5.89M
"May 20, 2022",1453,1466.75,1446.7,1455.15,10.49M
"May 19, 2022",1481,1484.7,1417.65,1427.15,16.56M
"May 18, 2022",1522,1549.7,1505.3,1509.2,6.59M
"May 17, 2022",1494.9,1525,1480.9,1518.45,6.52M
"May 16, 2022",1510,1511.85,1478.65,1489.1,6.15M
